Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,165,151,14,0,"July 13, 2020"
Out of County,0,0,0,0,0,"July 13, 2020"
Pending,3,111,91,20,0,"July 13, 2020"
Total*,56,4140,3780,329,31,"July 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,73,65,7,0,"July 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,18,451,391,58,3,"July 10, 2020"
CITY OF GOLETA,0,82,67,13,2,"July 10, 2020"
COMMUNITY OF ISLA VISTA,1,27,21,6,0,"July 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,61,53,7,1,"July 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,32,24,8,0,"July 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,216,190,22,4,"July 10, 2020"
FEDERAL PRISON IN LOMPOC,0,998,994,1,3,"July 10, 2020"
CITY OF SANTA MARIA,31,1628,1439,172,18,"July 10, 2020"
COMMUNITY OF ORCUTT,2,113,102,10,0,"July 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,151,134,17,0,"July 10, 2020"
Out of County,0,0,0,0,0,"July 10, 2020"
Pending,5,99,75,24,0,"July 10, 2020"
Total*,75,3931,3555,345,31,"July 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,72,60,11,0,"July 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,437,382,53,3,"July 9, 2020"
CITY OF GOLETA,3,82,68,12,2,"July 9, 2020"
COMMUNITY OF ISLA VISTA,0,26,23,3,0,"July 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,59,52,6,1,"July 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,30,21,9,0,"July 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,206,178,24,4,"July 9, 2020"
FEDERAL PRISON IN LOMPOC,0,998,994,1,3,"July 9, 2020"
CITY OF SANTA MARIA,33,1601,1397,189,16,"July 9, 2020"
COMMUNITY OF ORCUTT,0,111,95,15,0,"July 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,150,136,14,0,"July 9, 2020"
Out of County,0,0,0,0,0,"July 9, 2020"
Pending,5,96,73,23,0,"July 9, 2020"
Total*,67,3868,3479,360,29,"July 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,72,57,14,0,"July 8, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,424,342,80,3,"July 8, 2020"
CITY OF GOLETA,4,79,67,10,2,"July 8, 2020"
COMMUNITY OF ISLA VISTA,0,26,20,6,0,"July 8, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,58,46,11,1,"July 8, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,27,20,7,0,"July 8, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,201,168,29,4,"July 8, 2020"
FEDERAL PRISON IN LOMPOC,0,984,981,0,3,"July 8, 2020"
CITY OF SANTA MARIA,73,1572,1331,226,16,"July 8, 2020"
COMMUNITY OF ORCUTT,4,111,93,17,0,"July 8, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",9,147,127,20,0,"July 8, 2020"
Out of County,0,0,0,0,0,"July 8, 2020"
Pending,11,107,83,24,0,"July 8, 2020"
Total*,121,3808,3335,444,29,"July 8, 2020"
